algoritmo,nproc,quantum,media_tme,desvio_padrao
prio_dynamic,60,10,37921.689444,3603.972369
prio_dynamic,60,20,20182.100555,3366.441915
prio_dynamic,60,30,14428.950555,1913.077862
prio_dynamic,70,10,40630.825238,8972.781257
prio_dynamic,70,20,19205.401904,4425.504709
prio_dynamic,70,30,15342.997619,3268.558537
prio_dynamic,80,10,50658.859583,9563.640629
prio_dynamic,80,20,25979.309166,4955.549066
prio_dynamic,80,30,17044.272083,3212.991142
prio_dynamic,90,10,62224.959259,6801.234537
prio_dynamic,90,20,29085.336666,5885.335265
prio_dynamic,90,30,16285.356666,3831.377369
prio_dynamic,100,10,67959.834333,7000.729468
prio_dynamic,100,20,34402.712666,4792.605891
prio_dynamic,100,30,20676.842666,4883.519369
prio_dynamic_quantum,10,10,3637.790000,1012.702084
prio_dynamic_quantum,10,20,2054.123333,595.432548
prio_dynamic_quantum,10,30,1753.386666,526.881969
prio_dynamic_quantum,20,10,10482.613333,2818.654017
prio_dynamic_quantum,20,20,4574.053333,1350.914718
prio_dynamic_quantum,20,30,3912.165000,1153.805629
prio_dynamic_quantum,30,10,14012.894444,3419.084607
prio_dynamic_quantum,30,20,8172.829999,2377.174111
prio_dynamic_quantum,30,30,7321.857777,1342.734786
prio_dynamic_quantum,40,10,24217.533333,3877.613336
prio_dynamic_quantum,40,20,13402.993333,2345.232334
prio_dynamic_quantum,40,30,9578.673333,1810.982688
prio_dynamic_quantum,50,10,31522.874666,3365.332168
prio_dynamic_quantum,50,20,17117.250666,2722.840829
prio_dynamic_quantum,50,30,12145.868000,1684.206057
prio_dynamic_quantum,60,10,38279.542222,5343.873829
prio_dynamic_quantum,60,20,21038.645555,3450.792224
prio_dynamic_quantum,60,30,12151.450555,2787.984655
prio_dynamic_quantum,70,10,34099.892857,6375.337664
prio_dynamic_quantum,70,20,24455.786666,2743.315423
prio_dynamic_quantum,70,30,16596.410476,2138.432800
prio_dynamic_quantum,80,10,42171.286666,8806.426412
prio_dynamic_quantum,80,20,21792.514166,5263.685783
prio_dynamic_quantum,80,30,15601.261250,4460.851841
prio_dynamic_quantum,90,10,46930.429259,8074.346590
prio_dynamic_quantum,90,20,23738.243703,3414.879050
prio_dynamic_quantum,90,30,16720.519259,4089.417063
prio_dynamic_quantum,100,10,51438.461000,10593.314387
prio_dynamic_quantum,100,20,32519.603000,8029.086377
prio_dynamic_quantum,100,30,20816.126333,5051.447395
